,video_id,video_title,video_channel,publish_date,views,like_count,dislike_count,comments
491,xyAuNHPsq-g,Introduction to matrices,Khan Academy,2008-06-08,2389555,11567,345,686
490,iUQR0enP7RQ,Idea behind inverting a 2x2 matrix | Matrices | Precalculus | Khan Academy,Khan Academy,2008-06-08,1261925,4132,134,402
489,xjkSE9cPqzo,Limit examples w/ brain malfunction on first prob (part 4) | Differential Calculus | Khan Academy,Khan Academy,2008-06-10,666588,2297,79,306
488,WrEcQsa-1ME,Monotonicity Theorem,Khan Academy,2008-06-12,196949,821,34,53
487,aNqG4ChKShI,Basic subtraction | Addition and subtraction | Arithmetic | Khan Academy,Khan Academy,2008-07-10,1151491,1020,210,74
486,NnlAI4ZiUrQ,Magnetic force on a charge | Physics | Khan Academy,Khan Academy,2008-07-31,683285,1703,77,129
485,l3hw0twZSCc,Magnetic force between two currents going in the same direction | Khan Academy,Khan Academy,2008-08-02,314680,671,20,71
484,KDHuWxy53uM,"The dot product | Magnetic forces, magnetic fields, and Faraday&#39;s law | Physics | Khan Academy",Khan Academy,2008-08-09,508875,2441,140,280
483,E34CftP455k,Dot vs. cross product | Physics | Khan Academy,Khan Academy,2008-08-09,565188,2998,204,164
482,Mt4dpGFVsYc,"Curl 1 | Partial derivatives, gradient, divergence, curl | Multivariable Calculus | Khan Academy",Khan Academy,2008-08-12,323501,1586,34,62
481,TdLD2Zh-nUQ,Double integrals 2 | Double and triple integrals | Multivariable Calculus | Khan Academy,Khan Academy,2008-08-14,453514,1731,21,97
480,hrIPO8mQqtw,Double integrals 5 | Double and triple integrals | Multivariable Calculus | Khan Academy,Khan Academy,2008-08-15,255211,640,14,59
479,twT-WZChfZ8,Double integrals 4 | Double and triple integrals | Multivariable Calculus | Khan Academy,Khan Academy,2008-08-15,267806,810,9,46
478,-_POEWfygmU,What is a differential equation,Khan Academy,2008-08-28,2014616,6849,287,617
476,a7wYAtMjORQ,Exact equations intuition 2 (proofy) | First order differential equations | Khan Academy,Khan Academy,2008-08-31,274910,751,12,75
477,iEpqcdaJNTQ,Exact equations intuition 1 (proofy) | First order differential equations | Khan Academy,Khan Academy,2008-08-31,482445,978,37,71
475,6YRGEsQWZzY,First order homogeneous equations 2 | First order differential equations | Khan Academy,Khan Academy,2008-09-01,436507,860,27,98
474,jJyRrIZ595c,Complex roots of the characteristic equations 2 | Second order differential equations | Khan Academy,Khan Academy,2008-09-01,279444,697,10,60
473,6xEO4BeawzA,Complex roots of the characteristic equations 1 | Second order differential equations | Khan Academy,Khan Academy,2008-09-01,432941,894,39,63
472,E2VxbufzuWQ,Laplace as linear operator and Laplace of derivatives | Laplace transform | Khan Academy,Khan Academy,2008-09-04,493971,1220,27,83
